hhnum,snapnowhh,inchhavg_r,hhsize,hh_expenses,med_expenses,sum_snap_dist,fah_paid,fafh_paid,totalpaid
101362,0,1466.0,1,477.0,262.8,26.48,36.48,10.33,46.81
101369,0,1052.562,2,251.0,0.0,5.779999999999999,22.24,2.38,24.62
101371,0,8610.67,3,537.78,506.0,6.58,46.05,23.06,69.11
101372,0,6707.0,4,261.21,8.0,12.56,39.31,16.12,55.44
101373,0,2100.0,3,291.33,0.0,1.62,1.75,10.76,12.51
101375,0,3900.0,5,270.6,102.0,51.03000000000001,12.12,5.0,17.12
101379,0,1083.33,3,290.0,0.0,10.34,19.09,8.08,27.18
101386,0,9760.0,3,712.22,16.67,2.86,32.75,25.91,58.66
101396,0,2197.0,1,387.67,22.5,6.2,77.92,18.36,96.28
101399,0,6991.7,1,960.33,135.0,21.38,45.98,33.37,79.35
101400,0,2705.0,2,361.5,111.5,22.0,68.49,6.1,74.59
101405,1,1600.0,4,73.75,98.75,14.34,3.38,3.04,6.41
101419,1,1960.0,2,478.57,0.0,26.269999999999996,66.77,10.44,77.22
101426,0,2480.0,3,239.58,176.67,19.700000000000003,32.62,24.21,56.83
101431,0,3000.0,4,198.0,89.5,6.21,80.26,15.12,95.39
101442,0,3060.0,2,366.5,0.0,3.1999999999999997,26.77,44.82,71.59
101449,0,1600.0,2,715.0,0.0,4.45,33.1,56.62,89.71
101450,1,6200.0,3,500.0,50.0,9.15,21.53,15.23,36.76
101451,1,87.9222111221032,4,115.0,0.0,36.4,51.4,6.5,57.9
101456,1,2520.0,3,319.33,8.33,5.58,20.59,0.0,20.59
101459,0,3080.0,3,421.67,53.33,67.46000000000001,68.02,17.43,85.45
101460,1,1250.0,3,210.0,0.0,8.45,14.83,1.67,16.5
101469,0,25650.0,2,1850.0,400.0,13.989999999999998,23.44,4.32,27.76
101478,1,2071.0,2,192.8,170.0,9.1,64.97,1.62,66.59
101481,0,2600.0,6,321.0,0.0,5.0600000000000005,22.5,8.59,31.08
101492,0,8231.58184734989,2,162.5,310.0,9.349999999999998,11.67,0.0,11.67
101494,0,12188.0,2,830.0,250.5,22.64,27.1,1.68,28.78
101498,1,600.0,1,250.0,10.0,3.5300000000000002,0.0,0.0,0.0
101499,1,1718.78335848703,2,310.0,0.0,4.13,52.61,15.6,68.21
101500,0,5002.0,2,410.0,66.5,4.359999999999999,43.86,62.02,105.88
