"eventid","hhnum","whogotpnum","athome","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnap_flag","placesnaptype","free","free_flag","totalpaid","totalpaid_flag","receiptreportedbp","receiptreportedph","receiptobserved","couponsreported","couponsobserved","loyaltycard","storesavings","couponsgeneral","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_snapamt","snapamt_flag","ebt_tanf","ebt_tanfamt","ebt_unk","ebt_unkamt","wic","wicamt","wicamt_flag","giftcard","paytype_flag","itemstot","itemsscanned","itemsbook","itemsblue","itemsreceipt","nummissprices","iteminfotype","reportmethod","booktype","bookpnum","startdate_flag","scandate_flag","abletoscanbp","abletoscanph","practice_flag","manualmatch_flag","moved_flag","multplaces_flag"
15854,115349,1,1,6/22/2012,0,6,4,0,1148607,1,,122,,,,,1,1.92078966635052,3.325,7.15,-996,-996,1,0,"SM",0,0,26.19,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,2,0,1,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
22038,115349,2,1,6/19/2012,0,6,1,0,1148607,1,,122,,,,,3,1.92078966635052,3.325,7.15,-996,-996,1,0,"SM",0,0,2.01,0,1,-996,1,0,0,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,1,2,"Adult",2,0,0,,-996,0,0,0,0
18401,115352,1,1,7/5/2012,0,7,2,0,1124919,1,,122,,,,,3,1.85108359296043,2.822,5.98,-996,-996,1,0,"SM",0,0,365.3,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,138,113,0,0,25,,1,6,"Primary",1,0,0,2,0,0,0,0,0
71198,115352,1,1,7/8/2012,0,7,5,0,1093402,1,,121,,,,,3,4.53589956528615,6.961,13.43,-996,-996,1,0,"SS",0,0,70.08,0,1,-996,1,,0,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,11,10,0,0,1,,1,2,"Primary",1,0,0,1,-996,0,0,0,0
18006,115353,2,1,7/4/2012,0,7,1,0,1006147,1,,111,,,,,3,0.190112137657313,0.249,1,0.249,4.85,1,0,"LG",0,0,24.06,0,0,0,0,0,,0,,,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,9,9,0,0,0,,2,5,"Primary",1,0,0,1,0,0,1,0,0
18412,115353,1,1,7/8/2012,0,7,5,0,1026079,1,,122,,,,,3,0.908243082413737,1.346,4.83,1.034,20.33,1,0,"SM",0,0,188.37,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,188.37,0,0,-996,0,-996,0,-996,-996,0,0,68,63,0,3,2,,1,6,"Primary",1,0,0,2,0,0,0,0,0
18846,115353,1,1,7/10/2012,0,7,7,0,1006147,1,,111,,,,,3,0.190112137657313,0.249,1,0.249,4.85,1,0,"LG",0,0,11.77,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,11.77,0,0,-996,0,-996,0,-996,-996,0,0,3,3,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
38407,115356,1,1,9/17/2012,0,9,2,0,1069474,1,,121,,,,,3,2.21773259718477,2.249,5.3,-996,-996,1,0,"SS",0,0,8.85,0,1,1,1,,0,0,1,0,1,0,0,0,0,1,8.85,1,0,-996,0,-996,0,-996,-996,0,0,15,15,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
38623,115356,1,1,9/20/2012,0,9,5,0,1108939,1,,122,,,,,3,2.4210269506,3.402,7.33,-996,-996,1,0,"SM",0,0,22.99,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,22.99,1,0,-996,0,-996,0,-996,-996,0,0,9,5,0,0,4,,1,6,"Primary",1,0,0,1,0,0,0,0,0
38624,115356,1,1,9/20/2012,0,9,5,0,1095750,1,,121,,,,,3,2.38415385863784,3.235,7.4,-996,-996,1,0,"SS",0,0,12.82,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,12.82,1,0,-996,0,-996,0,-996,-996,0,0,6,0,0,0,6,,1,6,"Primary",1,0,0,1,0,0,0,0,0
39163,115370,1,1,9/21/2012,0,9,2,0,1056739,1,,121,,,,,3,1.07751304141296,1.513,7.83,-996,-996,1,0,"SS",0,0,13.25,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,0,0,0,3,,1,6,"Primary",1,0,0,3,0,0,0,0,0
