"hhnum","infousa_flag","snap1","snap2","snap3","snap4","snap5","snap6","snap7","snap8","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","sm1","sm2","sm3","sm4","sm5","sm6","sm7","sm8","co1","co2","co3","co4","co5","co6","co7","co8","cs1","cs2","cs3","cs4","cs5","cs6","cs7","cs8","mlg1","mlg2","mlg3","mlg4","mlg5","mlg6","mlg7","mlg8","dist_ss","dist_sm","dist_co","dist_cs","dist_mlg","dist_walmart","nearsnap_placeid","nearsnap_stype","nearsnap_dist","nearsmss_placeid","nearsmss_stype","nearsmss_dist","ff1","ff2","ff3","ff4","ff5","ff6","ff7","ff8","nonff1","nonff2","nonff3","nonff4","nonff5","nonff6","nonff7","nonff8","nearff_sic1","nearff_sic2","nearff_dist","nearnonff_sic1","nearnonff_sic2","nearnonff_dist","nearmcd_sic1","nearmcd_sic2","nearmcd_dist"
118008,1,0,5,11,55,239,556,665,1252,0,3,4,8,26,65,83,157,0,0,1,6,30,67,87,175,0,1,2,13,46,106,129,253,0,1,3,20,99,227,260,431,0,0,1,5,20,49,57,117,0.38,0.79,0.39,0.47,0.76,1.86,1099793,"SS",0.38,1099793,"SS",0.38,0,3,9,37,187,459,565,640,0,4,23,129,884,2224,2873,3307,581208,581206,0.43,581222,581208,0.36,581208,581206,0.742135555994703
118015,1,0,0,0,1,2,10,81,201,0,0,0,1,1,1,3,7,0,0,0,0,0,0,11,21,0,0,0,0,0,0,25,52,0,0,0,0,1,8,35,104,0,0,0,0,0,0,1,4,1.28,10.56,10,4.35,11.43,12.29,1121683,"SS",1.28,1121683,"SS",1.28,0,0,0,0,1,8,29,35,0,0,0,0,1,14,52,81,581208,581206,2.72,581208,581208,4.42,581208,581206,5.59932381024148
118019,1,0,0,0,0,1,21,37,276,0,0,0,0,0,1,3,20,0,0,0,0,0,3,5,28,0,0,0,0,0,7,11,88,0,0,0,0,1,7,13,105,0,0,0,0,0,1,2,14,8.15,7.38,7.04,3.33,5.53,10.27,1052791,"CS",3.33,1057722,"SM",7.38,0,0,0,0,0,6,13,32,0,0,0,0,3,34,64,117,581208,581206,6.95,701107,581208,2.44,581208,581206,7.25808483600087
118021,1,0,1,8,22,162,723,2108,4513,0,1,2,2,17,57,121,292,0,0,0,2,22,68,108,257,0,0,3,6,36,173,345,818,0,0,2,10,43,222,576,1269,0,0,0,0,9,48,216,404,0.32,1.72,0.51,0.82,2.25,0.32,1073960,"SS",0.32,1073960,"SS",0.32,0,4,14,30,71,139,162,196,0,5,31,77,289,653,829,1084,581208,581206,0.29,581228,581228,0.31,581208,581206,0.811226078531193
118024,1,0,0,0,0,4,8,80,765,0,0,0,0,0,0,11,54,0,0,0,0,0,1,11,71,0,0,0,0,2,2,26,190,0,0,0,0,2,5,25,389,0,0,0,0,0,0,2,27,10.75,9.11,2.7,2.65,13.06,13.73,,"CS",2.65,1166008,"SM",9.11,0,0,0,2,7,9,111,585,0,0,2,5,25,47,348,2099,581222,581206,1.18,581223,581223,0.86,581208,581206,2.87646861093687
118028,1,0,1,4,7,74,243,425,694,0,0,0,0,7,17,29,50,0,0,0,0,4,8,15,19,0,0,0,2,26,59,114,190,0,0,1,1,21,96,167,276,0,0,1,1,5,18,27,42,2.85,2.17,1.37,0.98,0.93,2.98,,"SG",0.47,1020571,"SM",2.17,0,0,0,0,1,1,2,3,0,1,1,3,7,7,10,22,581208,581206,3.85,581203,581203,0.41,581208,581206,34.6466833495969
118029,1,0,0,0,2,7,77,203,416,0,0,0,0,1,3,8,14,0,0,0,0,0,7,27,56,0,0,0,0,2,29,77,150,0,0,0,1,3,29,63,138,0,0,0,0,0,0,1,6,2.41,5.85,2.89,1.71,14.74,2.41,,"ME",1.62,1160140,"SS",2.41,0,0,0,1,1,49,149,212,0,0,0,3,4,132,670,928,581208,581206,1.62,581208,581208,1.62,581208,581206,7.35789062750732
118038,1,3,5,8,20,28,77,274,589,0,0,0,0,1,9,16,30,0,1,1,2,2,11,27,51,3,3,4,8,11,28,94,198,0,1,3,7,10,19,85,223,0,0,0,0,1,2,12,20,2.2,0.29,0.07,0.27,4.72,2.2,1125081,"CO",0.07,1068511,"SM",0.29,3,3,4,12,20,24,33,69,5,6,9,18,33,52,67,148,581208,581203,0.08,581208,581208,0.05,581208,581206,1.22368273751032
118040,1,0,0,0,0,0,49,194,525,0,0,0,0,0,4,12,27,0,0,0,0,0,5,26,49,0,0,0,0,0,20,68,179,0,0,0,0,0,15,56,189,0,0,0,0,0,2,9,18,7.62,7.48,6.71,6.28,6.72,9.56,1111243,"CS",6.28,,"SM",7.48,0,0,0,0,0,31,47,69,0,0,0,0,2,57,100,148,581208,581206,7.52,581208,581208,2.54,581208,581206,7.78034950564867
118041,1,0,0,0,1,2,32,87,604,0,0,0,0,0,2,4,24,0,0,0,0,0,2,9,60,0,0,0,0,0,9,35,222,0,0,0,1,2,17,33,232,0,0,0,0,0,1,2,13,6.27,5.66,5.69,1.99,5.91,7.45,,"CS",1.99,1076134,"SM",5.66,0,0,0,0,3,14,42,99,0,0,0,0,0,24,153,287,581208,581206,3.65,581208,581206,5.62,581208,581206,3.65267387803399
118048,1,0,1,5,23,162,282,311,438,0,0,0,0,15,27,29,43,0,0,0,4,17,27,29,36,0,0,0,2,28,52,57,87,0,1,4,12,75,124,139,191,0,0,0,0,6,10,11,13,2.12,1.47,1.45,0.49,2.45,2.36,,"CS",0.49,1051321,"SM",1.47,0,0,0,9,107,185,211,221,0,1,3,22,338,662,720,763,581208,581206,1.48,581208,581208,0.33,581208,581206,2.22489433314583
118058,1,0,1,3,3,3,6,23,86,0,0,0,0,0,0,4,17,0,0,1,1,1,2,5,8,0,1,1,1,1,2,7,25,0,0,1,1,1,1,5,23,0,0,0,0,0,1,1,5,11.36,0.98,0.49,0.95,8.39,11.36,1010315,"CO",0.49,1084003,"SM",0.98,0,0,0,2,2,2,14,19,0,2,6,9,9,25,50,82,581208,581206,1.12,581208,581208,0.37,581208,581206,12.1429580198443
118060,1,0,0,4,5,5,17,72,672,0,0,1,1,1,2,6,53,0,0,0,0,0,2,9,49,0,0,3,4,4,6,31,220,0,0,0,0,0,5,18,270,0,0,0,0,0,1,3,26,0.83,9.51,0.53,5.15,7.56,9.99,,"CO",0.53,1006423,"SS",0.83,0,0,1,3,3,9,65,80,0,0,7,8,8,25,117,152,581208,581206,0.84,581208,581208,0.81,581208,581206,1.01804416468614
